metadata_field,by,total_descriptions,mean,std,min,max
All,word_count,26674.0,18.511396865861887,88.03040663663045,0.0,12340.0
All,sent_count,26674.0,1.5152208142760741,5.43693998844719,1.0,742.0
Title,word_count,14862.0,7.253061499125286,5.623144921818053,0.0,51.0
Title,sent_count,14862.0,1.1160005382855605,0.4985690493450453,1.0,15.0
Scope and Contents,word_count,10855.0,28.21022570244127,130.52250181941722,0.0,12340.0
Scope and Contents,sent_count,10855.0,1.8047904191616766,8.257919410618424,1.0,742.0
Biographical / Historical,word_count,655.0,117.45343511450382,135.13357492882494,6.0,1110.0
Biographical / Historical,sent_count,655.0,5.975572519083969,6.566014943090121,1.0,45.0
Processing Information,word_count,302.0,9.350993377483444,10.534359965071928,4.0,177.0
Processing Information,sent_count,302.0,1.0794701986754967,0.3462792990196342,1.0,4.0
